Образ будущего	Школа	иллюстрации	Публикации
Единая международная система учебы по обмену - любой человек может поехать поучиться в школе или вузе в любой точке мира	Термальненская СОШ	learning_exchange.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/76288909d9c
Международное соглашение, подписанное всеми странами, в результате которого утилизировано все оружие и военная техника	Термальненская СОШ	war_elimination.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/88909d9c1eb
Все предметы обихода и повседневного использования сделаны из биоразлагаемых материалов	Термальненская СОШ	biodegradable.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/09d9c1eb98e
У каждого человека есть право на периоды, когда он занимается только своим развитием или только волонтерской деятельностью, и в эти периоды ему предоставляется безусловный базовый доход	МАОУ СОШ №34, г. Оренбург	basic_income.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/a3f7e1257a6
Создана одежда, которая "программируется" и меняет свой облик под разные ситуации, поэтому не нужно иметь обширный гардероб и переодеваться	МАОУ СОШ №34, г. Оренбург	changing_clothes.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/1f1c55e54d6
Все рекламные и информационные площади в городах - голографические, поэтому не "съедают" место, не мешают движению и не портят фасады зданий	МАОУ СОШ №34, г. Оренбург	holograms.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/e54d60c823a
Разработана технология "парящих зданий", благодаря чему на земле освободилось больше места под зеленые насаждения	Лицей №1, г. Сыктывкар	flying_houses.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/1ce396410d3
Бионические тела, органы, части тел - как для замены больных и поврежденных, так и для "достройки" тела с целью получения дополнительных возможностей	Лицей №1, г. Сыктывкар	bionics.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/410d3d15fbf
Преобладающей основой экономических транзакций стал натуральный обмен (точнее, обмен взаимопомощью, система взаимозачетов)	Лицей №1, г. Сыктывкар		https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/b0cb4886abd
Все-кроссинг: внутри районов / соседских общин есть физические и виртуальные площадки, где люди обмениваются вещами, идеями и делами - любой может запросить и получить то, что ему нужно	ГБОУ СОШ 1935, г. Москва	exchange_boards.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/3ede6e0c298
Автомобильные магистрали не проходят через жилые районы, перемещение и перевозки внутри жилой застройки - только на электросамокатах, велосипедах и т.п., подвозка крупных грузов в жилые зоны - летающими электромобилями	ГБОУ СОШ 1935, г. Москва	bicycle_transport.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/84bd759712a
Предметы интерьера и обихода могут менять цвет и форму по желанию владельца	ГБОУ СОШ 1935, г. Москва	changing_houseware.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/d759712adbd
Созданы "сканеры здоровья", которые проводят полную проверку физического и психического состояния за одно сканирование, они стоят везде, и пользование ими бесплатно	ГБОУ «Кадетская школа имени Героя Советского Союза Н. Кайманова»	health_scanners.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/190c5514390
Уровень доходов и популярности человека прямо соответствует его вкладу в развитие общества и повышение качества жизни	ГБОУ «Кадетская школа имени Героя Советского Союза Н. Кайманова»		https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/908b0cb4886
Вся физическая работа и прозводство автоматизированы. Люди занимаются физическим трудом для разрядки или оздоровления, если производят что-то - это промыслы, для самореализации.	ГБОУ «Кадетская школа имени Героя Советского Союза Н. Кайманова»	robots_crafts.png	https://stage.meriter.pro/meriter/communities/10ac047ebfc/posts/c55143908b0
