№	Автор	Компания  (комментарий для ИИ: добавить в заголовок/текст поста, на твоё усмотрение, при обработке данных)	Заголовок поста	Текст поста 	Ссылка на проект   (комментарий для ИИ: добавить в текст поста последней строчкой, через отступ от предыдущих)	Ценности (комментарий для ИИ: выбрать из нашего списка по указу 809, это теги)	URL на изображение (комментарий для ИИ: использовать для картинки поста, тут прямая ссылка на изображение)
1	Владислав 	Сбербанк	Благотворительный фонд Сбербанка «Вклад в будущее»	Программа направлена на создание образовательной среды, в которой условия превращаются в возможности для личностного развития детей и взрослых. Содержание Программы отвечает требованиям ФГОС, задачам, поставленным Указами Президента РФ и последними законодательными инициативами. Программа «Развивающая среда» («Развитие личностного потенциала») помогает сформировать в образовательных организациях личностно-развивающую среду, в которой условия превращаются в возможности развития и в которой ребёнок может удовлетворить свои ключевые психологические потребности, обрести субъективное благополучие, развить в себе личностную зрелость и гибкость.	https://vbudushee.ru/education/developmental-environment/?ysclid=mifnklryec280687040	Жизнь, Достоинство, Развитие личности, Гуманизм, Созидательный труд	https://filearchive.cnews.ru/img/cnews/2021/10/19/logos/c8/c8a204e6cf4b5f5042b915cb11ffbe26.png
2	Владислав 	Сбербанк	Международный конкурс по искусственному интеллекту для молодежи AI Challenge	В 2024 году Сбер совместно с Альянсом в сфере искусственного интеллекта в третий раз провел международный конкурс AI Challenge среди молодежи в возрасте до 18 лет. Конкурс помогает раскрывать потенциал участников в сфере современных технологий и готовить будущих специалистов в области искусственного интеллекта. Мероприятие объединило молодых исследователей из 65 стран мира и 89 регионов России. Они работали над решением 16 реальных технологических бизнес‑кейсов в различных отраслях — от сельского хозяйства до креативных индустрий. Каждый участник вне зависимости от уровня своих знаний и навыков в сфере искусственного интеллекта мог погрузиться в ИИ‑технологии в одном из направлений — «Начинающие», «Исследователи» и «Креативные». Общий призовой фонд составил 17 млн рублей.	https://aiijc.com/ru/	Созидательный труд, Развитие личности, Коллективизм, Взаимоуважение	https://mcvp.ru/wp-content/uploads/2024/08/snimok-ekrana-2024-08-22-155441-optimized.png
3	Владислав 	Сбербанк	«Урок цифры» 	Масштабная национальная инициатива, направленная на цифровое просвещение школьников. Проект объединяет образовательные материалы от ведущих российских ИТ‑компаний, создавая уникальную платформу для технологического обучения молодежи. Ключевой партнер — Благотворительный фонд «Вклад в будущее» при экспертной поддержке Сбера, команд GigaChat и Kandinsky.	https://урокцифры.рф	Созидательный труд, Гражданственность, Развитие личности	 https://rubtsovskmv.ru/wp-content/uploads/2022/09/Урок-цифры.jpg
4	Владислав 	Сбербанк	«Школа 21»	Проект Сбера, предоставляющий бесплатное ИТ‑образование для людей старше 18 лет, желающих получить востребованную цифровую профессию. Проект открывает широкий доступ к технологическому образованию, подготовить квалифицированные кадры и содействовать цифровой трансформации страны. «Школа 21» проводит интенсивы для компаний. В рамках сотрудничества между Правительством Москвы и Сбером преподаватели столичных колледжей, готовящие специалистов для ИТ‑отрасли, прошли образовательную программу по искусственному интеллекту в московском кампусе «Школы 21». «Школа 21» формирует сообщества участников и выпускников, развивает методику «равный равному», когда обучение проходит без лекций, преподавателей и оценок в рамках индивидуальной и коллективной работы над практическими проектами.	https://21-school.ru	Созидательный труд, Коллективизм, Взаимопомощь, Развитие личности	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlrJmmsPqpjPLc--f1LIWlNNrCxCpTifJ6sQ&s
5	Руслан 	ВТБ 	Благотворительный фонд поддержки социальных инициатив и оказания адресной помощи «ВТБ-Страна» 	Благотворительный фонд поддержки социальных инициатив и оказания адресной помощи «ВТБ-Страна» ведёт работу по пяти направлениям: здравоохранение, образование, спорт, культура, патриотизм и традиции страны.  У фожна есть основные программы: 1. Программа «Патриотизм и традиции страны» - Укрепление духовно-нравственных качеств. Сохранение национальных обычаев и патриотическое воспитание молодёжи. Помощь людям, оказавшимся в трудной жизненной ситуации. 2. Программа «Культурная страна»        Активное участие в культурной жизни страны. Сохранение и развитие духовных ценностей народов России. 3. Программа «Образованная страна»        Помощь талантливым молодым специалистам. Содействие при проведении научных исследований и разработок в России. Равные возможности для карьерного роста. 4. Программа «Спортивная страна» Продвижение здорового образа жизни среди россиян. Создание условий для занятий физкультурой. 5. Программа «Здоровая страна» Улучшение качества жизни жителей нашей страны. Развитие технологичной и персонализированной медицины.	https://vtbstrana.ru	Милосердие, Гуманизм, Патриотизм, Гражданственность, Справедливость	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6wtHsC1FbQRMwqkyr6T_s-4-HhxJv2N_yEA&s
6	Руслан 	ВТБ 	Кроноцкий государственный заповедник	Вклад в сохранение заповедных территорий Камчатки и в развитие экологического туризма	https://kronoki.ru	Жизнь, Ответственность за судьбу Отечества, Гуманизм	https://static.tildacdn.com/tild6534-6563-4133-b365-366535613732/IMG_20230727_125904_.jpg
7	Руслан 	ВТБ 	Школа управления рисками	Трехмесячный бесплатный учебный курс для студентов, аспирантов и выпускников математических, экономических, финансовых и ИТ-специальностей с перспективой трудоустройства в Банк ВТБ	https://rabota.vtb.ru/shkola-upravleniya-riskami/	Созидательный труд, Достоинство	https://fut.ru/api/storage/api/files/981673ca-6b95-4e0c-bb0a-5f3c88b7082c/download/v2
8	Руслан 	ВТБ 	«Ближе к делу» обучающий портал для предпринимателей	На портале можно бесплатно пройти обучение в режиме онлайн, ознакомиться со статьями экспертов и посмотреть анонсы мероприятий	https://kdelu.vtb.ru	Созидательный труд, Гражданственность, Ответственность	https://kdelu.vtb.ru/_next/static/images/preview-main-9a73bac1fa832977d0158c50414dc158.png
9	Ольга 	Газпромбанк	Детские деревни – SOS	На протяжении многих лет Банк является одним из доноров Межрегиональной благотворительной общественной организации «Детские деревни – SOS». Это уникальная альтернатива детским домам. Модель, максимально приближенная к домашней, где дети живут, как в обычной семье	https://sos-dd.ru	Крепкая семья, Милосердие, Гуманизм, Достоинство	https://sos-dd.ru/upload/iblock/3a4/1hisxxwbmur1mka4cmalwl0xrn8ed6iy.png
10	Ольга 	Газпромбанк	Поддержка культуры и искусства	Банк начал формирование собственной коллекции, которая стала первой и пока единственной корпоративной коллекцией, всецело посвященной искусству «Новой России» – с начала 1990-х годов по сегодняшний день.	-	Историческая память, Высокие нравственные идеалы	https://cdn.gpb.ru/upload/files/392/Main_Image_Podderzhka_kultury_i_iskusstva_2432kh792px.webp
